イベント名,UID,データ更新日時,イベント名（英語）,開始日時,終了日時,場所,場所（英語）,geo,説明文,説明文（英語）,URL,参加者
Kaede Higuchi 1st Live “KANA-DERO”,ceb6c76a-5f3d-41b2-8912-e7ae04b585f2, 2025/03/27 18:30:12,Kaede Higuchi 1st Live “KANA-DERO”,2019/01/12 17:00, 2019/01/12 19:00,Zepp Osaka Bayside,Zepp Osaka Bayside,"34.661996,135.434911","特設サイト
https://event.nijisanji.app/kanadero/","Special Site
https://event.nijisanji.app/kanadero/",https://event.nijisanji.app/kanadero/,"樋口楓, 月ノ美兎, 静凛, える"
樋口楓VRライブ「ReStart Line」,b76cddac-91ee-409a-9546-a87337b7d18e, 2025/03/27 18:30:20,"Higuchi Kaede VR Live ""ReStart Line""",2019/06/29 19:30, 2019/06/29 21:30,オンライン,Online,,,,,"樋口楓, 鈴鹿詩子"
ド葛本社1stオフラインミーティング 昼の部,8fccb27a-f138-4d09-8b45-bf19f9b0afe1, 2025/03/21 18:55:40,Dokuzuhonsha 1st Offline Meeting Daytime Stage,2019/08/12 13:00,2019/08/12 15:00,神田明神ホール,KANDAMYOUJIN HALL,"35.701836,139.767254",,,,"ドーラ, 葛葉, 本間ひまわり, 社築"
ド葛本社1stオフラインミーティング 夜の部,6e5a6a1a-5403-4640-88ce-333001ff9758, 2025/03/21 18:55:42,Dokuzuhonsha 1st Offline Meeting Nighttime Stage,2019/08/12 18:00,2019/08/12 20:00,神田明神ホール,KANDAMYOUJIN HALL,"35.701836,139.767254",,,,"ドーラ, 葛葉, 本間ひまわり, 社築"
京まふ2019前夜祭「ド葛本社のドタバタ家族旅行in京都 」,d659b30a-22af-41c3-b2b4-717a3e6385d6, 2025/03/21 23:03:51,"Kyomafu 2019 Eve Festival: ""The Chaotic Family Trip to Kyoto by Dokuzuhonsha""",2019/09/20 18:30,2019/09/20 20:30,ロームシアター京都　メインホール,ROHM Theatre Kyoto,"35.014469,135.780642",,,https://kyomaf.kyoto/2019/pre-event/,"ドーラ, 葛葉, 本間ひまわり, 社築, 樋口楓"
京まふ2019 コラボカフェ『にじさんじ おこしやす喫茶』,7efec380-e8e6-41f6-8390-21e3d6c2fee8, 2025/03/21 23:04:34,"Kyomafu 2019 Collaboration Cafe: ""Nijisanji Welcome Tea House""",2019/09/21 13:00,2019/09/21 17:00,みやこめっせ１F,Miyako Messe,"35.012815,135.780882",,,https://kyomaf.kyoto/2019/food_goods/characafe/nijisanji-cafe/,"ベルモンド・バンデラス, 戌亥とこ, 樋口楓, 本間ひまわり"
京まふ2019 コラボカフェ『にじさんじ おこしやす喫茶』,be0a9bca-7523-4cea-831e-a89d4c52b105, 2025/03/21 23:04:36,"Kyomafu 2019 Collaboration Cafe: ""Nijisanji Welcome Tea House""",2019/09/22 11:00,2019/09/22 15:00,みやこめっせ１F,Miyako Messe,"35.012815,135.780882",,,https://kyomaf.kyoto/2019/food_goods/characafe/nijisanji-cafe/,"本間ひまわり, 御伽原江良, 花畑チャイカ, 樋口楓"
にじさんじ Music Festival at 幕張メッセ,b534dcd6-6dab-41c2-966e-969b3aaa39f5, 2025/03/21 23:28:02,Nijisanji Music Festival at Makuhari Messe,2019/10/02 19:00,2019/10/02 21:00,幕張メッセイベントホール,Makuhari Messe Event Hall,"35.646867,140.034609","ニュースページ
https://prtimes.jp/main/html/rd/p/000003409.000002581.html","Article of the event
https://prtimes.jp/main/html/rd/p/000003409.000002581.html",https://prtimes.jp/main/html/rd/p/000003409.000002581.html,"月ノ美兎, 勇気ちひろ, える, 樋口楓, 静凛, 鈴鹿詩子, 宇志海いちご, 家長むぎ, 物述有栖, 剣持刀也, 森中花咲, 叶, 本間ひまわり, 葛葉, 椎名唯華, ドーラ, シスター・クレア, 花畑チャイカ, 緑仙, 竜胆尊"
VtuberLand 2019 in よみうりランド にじさんじWEEK ~みんなで行こうにじさんじランド~,5e58541b-16e2-46fb-95f3-9c3910c79e17, 2025/03/21 23:06:03,VtuberLand 2019 in Yomiuriland - Nijisanji WEEK,2019/10/19 09:00,2019/10/26 21:00,よみうりランド,Yomiuriland,"35.626021,139.518117",,,,にじさんじ
VtuberLand 2019 in よみうりランド にじさんじWEEK ホールイベント 第1部,902ff480-05f5-44ad-bb1e-7292da9b5ca4, 2025/03/21 23:06:34,VtuberLand 2019 in Yomiuriland - Nijisanji WEEK Hall Event Part 1,2019/10/26 13:00,2019/10/26 15:00,よみうりランド,Yomiuriland,"35.626021,139.518117",,,,"叶, 葛葉"
